Date,Open,High,Low,Close,Adj Close,Volume,%change
10/03/2022,283.019989,286.600006,280.579987,285.589996,283.523834,30628000,-0.001481841
11/03/2022,287.959991,289.51001,279.429993,280.070007,278.043793,27209300,0.017454605
14/03/2022,280.339996,285.399994,275.820007,276.440002,274.440063,30660700,-0.026461992
15/03/2022,280.350006,287.820007,278.730011,287.149994,285.072571,34245100,3.57066E-05
16/03/2022,289.109985,294.570007,283.200012,294.390015,292.260193,37826300,0.03124658
17/03/2022,293.290009,295.609985,289.369995,295.220001,293.084198,30816600,0.014458248
18/03/2022,295.369995,301,292.730011,300.429993,298.25647,43390600,0.007091909
21/03/2022,298.890015,300.140015,294.899994,299.160004,296.995667,28351200,0.011917324
22/03/2022,299.799988,305,298.769989,304.059998,301.860229,27599700,0.003044508
23/03/2022,300.51001,303.230011,297.720001,299.48999,297.323303,25715400,0.002368319
24/03/2022,299.140015,304.200012,298.320007,304.100006,301.899963,24484500,-0.0045589
25/03/2022,305.230011,305.5,299.290009,303.679993,301.483002,22566500,0.020358346
28/03/2022,304.329987,310.799988,304.329987,310.700012,308.452209,29578200,-0.002948675
29/03/2022,313.910004,315.820007,309.049988,315.410004,313.128143,30393400,0.031479044
30/03/2022,313.76001,315.950012,311.579987,313.859985,311.589325,28163600,-0.000477825
31/03/2022,313.899994,315.140015,307.890015,308.309998,306.079468,33422100,0.00044615
01/04/2022,309.369995,310.130005,305.540009,309.420013,307.181458,27110500,-0.014431345
04/04/2022,310.089996,315.109985,309.709991,314.970001,312.691284,24289600,0.002327314
05/04/2022,313.269989,314.869995,309.869995,310.880005,308.63089,23156700,0.010255065
06/04/2022,305.190002,307,296.709991,299.5,297.333252,40110400,-0.025792407
07/04/2022,296.660004,303.649994,296.350006,301.369995,299.189697,31411200,-0.027949795
08/04/2022,300.440002,301.119995,296.279999,296.970001,294.821503,24361900,0.012741852
11/04/2022,291.790009,292.609985,285,285.26001,283.196228,34569300,-0.028791083
12/04/2022,289.23999,290.73999,280.48999,282.059998,280.019379,30966700,-0.008739227
13/04/2022,282.730011,288.579987,281.299988,287.619995,285.539154,21907200,-0.022507189
14/04/2022,288.089996,288.309998,279.320007,279.829987,277.805511,28221600,0.018957963
18/04/2022,278.910004,282.459991,278.339996,280.519989,278.49054,20778000,-0.031865015
19/04/2022,279.380005,286.170013,278.410004,285.299988,283.235931,22297700,0.001685135
20/04/2022,289.399994,289.700012,285.369995,286.359985,284.288269,22906700,0.03586509
21/04/2022,288.579987,293.299988,280.059998,280.809998,278.778442,29454600,-0.002833473
22/04/2022,281.679993,283.200012,273.380005,274.029999,272.047485,29405800,-0.023910161
25/04/2022,273.290009,281.109985,270.769989,280.720001,278.689056,35678900,-0.029785516
26/04/2022,277.5,278.359985,270,270.220001,268.265045,46518400,0.015404848
27/04/2022,282.100006,290.970001,279.160004,283.220001,281.171021,63477700,0.016576598
28/04/2022,285.190002,290.980011,281.459991,289.630005,287.534637,33646600,0.010953548
29/04/2022,288.609985,289.880005,276.5,277.519989,275.512207,37073900,0.011991946
02/05/2022,277.709991,284.940002,276.220001,284.470001,282.411957,35151100,-0.03776721
03/05/2022,283.959991,284.130005,280.149994,281.779999,279.741425,25978600,0.022505492
04/05/2022,282.589996,290.880005,276.730011,289.980011,287.882111,33599300,-0.004824606
05/05/2022,285.540009,286.350006,274.339996,277.350006,275.343475,43260400,0.010439198
06/05/2022,274.809998,279.25,271.269989,274.730011,272.742432,37780300,-0.03757796
09/05/2022,270.059998,272.359985,263.320007,264.579987,262.665833,47726000,-0.01728467
10/05/2022,271.690002,273.75,265.070007,269.5,267.550262,39336400,0.006035711
11/05/2022,265.679993,271.359985,259.299988,260.549988,258.665009,48975900,-0.022120832
12/05/2022,257.690002,259.880005,250.020004,255.350006,253.502625,51033800,-0.03007374
13/05/2022,257.350006,263.040009,255.350006,261.119995,259.230896,34925100,-0.001319399
16/05/2022,259.959991,265.820007,255.779999,261.5,259.608154,32550900,0.010141772
17/05/2022,266.109985,268.329987,262.459991,266.820007,264.889679,28828800,0.023657464
18/05/2022,263,263.600006,252.770004,254.080002,252.82933,31356000,-0.011686841
19/05/2022,253.899994,257.670013,251.880005,253.139999,251.893936,32692300,-0.034600783
20/05/2022,257.23999,258.540009,246.440002,252.559998,251.316803,39199300,0.01315477
23/05/2022,255.490005,261.5,253.429993,260.649994,259.366974,33175400,-0.006802927
24/05/2022,257.890015,261.329987,253.5,259.619995,258.342041,29043900,0.009393753
25/05/2022,258.140015,264.579987,257.130005,262.519989,261.227753,28547900,0.000969406
26/05/2022,262.269989,267.109985,261.429993,265.899994,264.591125,25002100,0.015998969
27/05/2022,268.480011,273.339996,267.559998,273.23999,271.894989,26910800,0.023677974
31/05/2022,272.529999,274.769989,268.929993,271.869995,270.531769,37827700,0.015084877
01/06/2022,275.200012,277.690002,270.040009,272.420013,271.079041,25292200,0.009797134
02/06/2022,264.450012,274.649994,261.600006,274.579987,273.228394,44008200,-0.039062498
03/06/2022,270.309998,273.450012,268.410004,270.019989,268.690857,28059000,0.022159144
06/06/2022,272.059998,274.179993,267.220001,268.75,267.427094,22400300,0.006474048
07/06/2022,266.640015,273.130005,265.940002,272.5,271.158661,22860700,-0.019922014
08/06/2022,271.709991,273,269.609985,270.410004,269.078949,17372300,0.01901431
09/06/2022,267.779999,272.709991,264.630005,264.790009,263.486603,26439700,-0.014463922
10/06/2022,260.579987,260.579987,252.529999,252.990005,251.74469,31422800,-0.026887789
13/06/2022,245.110001,249.020004,241.529999,242.259995,241.06749,46135800,-0.059367514
14/06/2022,243.860001,245.740005,241.509995,244.490005,243.28653,28651500,-0.005099751
15/06/2022,248.309998,255.300003,246.419998,251.759995,250.520737,33111700,0.018248163
16/06/2022,245.979996,247.419998,243.020004,244.970001,243.76416,33169200,-0.00938344
17/06/2022,244.699997,250.5,244.029999,247.649994,246.430954,43084800,-0.005203671
21/06/2022,250.259995,254.75,249.509995,253.740005,252.490997,29928300,0.022721692
22/06/2022,251.889999,257.170013,250.369995,253.130005,251.883987,25939900,0.006513242
23/06/2022,255.570007,259.369995,253.630005,258.859985,257.585754,25861400,0.014609584
24/06/2022,261.809998,267.980011,261.720001,267.700012,266.382294,33923200,0.024415975
27/06/2022,268.209991,268.299988,263.279999,264.890015,263.586121,24615100,0.024445182
28/06/2022,263.980011,266.910004,256.320007,256.480011,255.217514,27295500,-0.01577115
29/06/2022,257.589996,261.970001,255.759995,260.26001,258.978882,20069800,-0.024206435
30/06/2022,257.049988,259.529999,252.899994,256.829987,255.56575,31730900,-0.002096386
01/07/2022,256.390015,259.769989,254.610001,259.579987,258.302246,22837700,-0.002567489
05/07/2022,256.160004,262.980011,254.740005,262.850006,261.556152,22941000,-0.000897114
06/07/2022,263.75,267.98999,262.399994,266.209991,264.899597,23824400,0.029629903
07/07/2022,265.119995,269.059998,265.019989,268.399994,267.078796,20859900,0.005194294
08/07/2022,264.790009,268.100006,263.290009,267.660004,266.342468,19658800,-0.001244667
11/07/2022,265.649994,266.529999,262.179993,264.51001,263.207977,19455200,0.0032478
12/07/2022,265.880005,265.940002,252.039993,253.669998,252.421326,35868500,0.000865842
13/07/2022,250.190002,253.550003,248.110001,252.720001,251.476013,29497400,-0.059011594
14/07/2022,250.570007,255.139999,245.940002,254.080002,252.82933,25102800,0.001518866
15/07/2022,255.720001,260.369995,254.770004,256.720001,255.456329,29774100,0.020553114
18/07/2022,259.75,260.839996,253.300003,254.25,252.998474,20975000,0.01575942
19/07/2022,257.579987,259.720001,253.679993,259.529999,258.252502,25012600,-0.008354237
20/07/2022,259.899994,264.869995,258.910004,262.269989,260.979004,22788300,0.009006938
21/07/2022,259.790009,264.890015,257.029999,264.839996,263.536346,22404700,-0.000423182
22/07/2022,265.23999,265.329987,259.070007,260.359985,259.078369,21881300,0.020978409
25/07/2022,261,261.5,256.809998,258.829987,257.555939,21056000,-0.015985485
26/07/2022,259.859985,259.880005,249.570007,251.899994,250.660034,39348000,-0.004367874
27/07/2022,261.160004,270.049988,258.850006,268.73999,267.417145,45994000,0.005002767
28/07/2022,269.75,277.839996,267.869995,276.410004,275.049377,33459300,0.032891698
29/07/2022,277.700012,282,276.630005,280.73999,279.358093,32152800,0.029471778
01/08/2022,277.820007,281.279999,275.839996,278.01001,276.64151,21539600,0.000432103
02/08/2022,276,277.890015,272.380005,274.820007,273.467255,22754200,-0.006551029
03/08/2022,276.76001,283.5,276.609985,282.470001,281.07959,23518900,0.002753659
04/08/2022,281.799988,283.799988,280.170013,283.649994,282.253754,18098700,0.018210644
05/08/2022,279.149994,283.649994,278.679993,282.910004,281.517395,16774600,-0.009403812
08/08/2022,284.049988,285.920013,279.320007,280.320007,278.940155,18739200,0.017553266
09/08/2022,279.640015,283.079987,277.609985,282.299988,280.9104,23405200,-0.015525341
10/08/2022,288.170013,289.809998,286.940002,289.160004,287.736633,24687800,0.030503496
11/08/2022,290.850006,291.209991,286.51001,287.019989,285.607147,20065900,0.009300041
12/08/2022,288.480011,291.910004,286.940002,291.910004,290.473114,22619700,-0.008148513
15/08/2022,291,294.179993,290.109985,293.470001,292.025421,18085700,0.008735402
16/08/2022,291.98999,294.040009,290.420013,292.709991,291.269165,18102900,0.003402027
17/08/2022,289.73999,293.350006,289.470001,291.320007,290.501343,18253400,-0.007705744
18/08/2022,290.190002,291.910004,289.079987,290.170013,289.354553,17186200,0.001553158
19/08/2022,288.899994,289.25,285.559998,286.149994,285.345856,20570000,-0.004445391
22/08/2022,282.079987,282.459991,277.220001,277.75,276.969452,25061100,-0.023606809
23/08/2022,276.440002,278.859985,275.399994,276.440002,275.663147,17527400,-0.019994276
24/08/2022,275.410004,277.230011,275.109985,275.790009,275.014984,18137000,-0.003725937
25/08/2022,277.329987,279.019989,274.519989,278.850006,278.066376,16583400,0.006971363
26/08/2022,279.079987,280.339996,267.980011,268.089996,267.336609,27549300,0.006310172
29/08/2022,265.850006,267.399994,263.850006,265.230011,264.48465,20338500,-0.047405696
30/08/2022,266.670013,267.049988,260.660004,262.970001,262.230988,22767100,0.003084472
31/08/2022,265.390015,267.109985,261.329987,261.470001,260.735199,24791800,-0.004799932
01/09/2022,258.869995,260.890015,255.410004,260.399994,259.668213,23263400,-0.024567691
02/09/2022,261.700012,264.73999,254.470001,256.059998,255.340408,22855400,0.010932194
06/09/2022,256.200012,257.829987,251.940002,253.25,252.5383,21328200,-0.02101643
07/09/2022,254.699997,258.829987,253.220001,258.089996,257.364716,24126700,-0.005854859
08/09/2022,257.51001,260.429993,254.789993,258.519989,257.793488,20319900,0.011032639
09/09/2022,260.5,265.230011,260.290009,264.459991,263.716797,22084700,0.01161116
12/09/2022,265.779999,267.450012,265.160004,266.649994,265.900635,18747700,0.02026871
13/09/2022,258.839996,260.399994,251.589996,251.990005,251.28186,33353300,-0.026111833
14/09/2022,253.529999,254.229996,249.860001,252.220001,251.5112,23913000,-0.020514592
15/09/2022,249.770004,251.399994,244.020004,245.380005,244.69043,31530900,-0.014830572
16/09/2022,244.259995,245.300003,242.059998,244.740005,244.052231,39791800,-0.022060331
19/09/2022,242.470001,245.139999,240.850006,244.520004,243.83284,26826900,-0.007328232
20/09/2022,242.070007,243.509995,239.639999,242.449997,241.768661,26660300,-0.001649664
21/09/2022,244.270004,247.660004,238.899994,238.949997,238.278488,28625600,0.009088268
22/09/2022,237.869995,243.860001,237.570007,240.979996,240.30278,31061200,-0.026200552
23/09/2022,239.539993,241.130005,235.199997,237.919998,237.251389,34176000,0.007020633
26/09/2022,237.050003,241.449997,236.899994,237.449997,236.7827,27694200,-0.010394882
27/09/2022,239.979996,241.800003,234.5,236.410004,235.745636,27018700,0.012360232
28/09/2022,236.809998,242.330002,234.729996,241.070007,240.392548,29029700,-0.013209426
29/09/2022,238.889999,239.949997,234.410004,237.5,236.832565,27484200,0.008783417
30/09/2022,238.289993,240.539993,232.729996,232.899994,232.245483,35694800,-0.002511641
03/10/2022,235.410004,241.610001,234.660004,240.740005,240.063461,28880400,-0.012086068
04/10/2022,245.089996,250.360001,244.979996,248.880005,248.180588,34888400,0.041119714
05/10/2022,245.990005,250.580002,244.100006,249.199997,248.49968,20347100,0.003672157
06/10/2022,247.929993,250.339996,246.080002,246.789993,246.096451,20239900,0.007886451
07/10/2022,240.899994,241.320007,233.169998,234.240005,233.581741,37769600,-0.028354774
